game_id,date,game_status,home_name,home_id,home_score,away_name,away_id,away_score,venue_full_name,season_id,game_type,is_postseason,month,day,year
320,2026-04-18 21:00:00+00:00,Final 1st OT,Seattle Torrent,8,5,Vancouver Goldeneyes,9,6,Climate Pledge Arena | Seattle,8,,,4,18,2026
321,2026-04-19 17:30:00+00:00,Final,Minnesota Frost,2,0,Toronto Sceptres,6,2,Grand Casino Arena | St. Paul,8,,,4,19,2026
322,2026-04-21 23:00:00+00:00,Final 1st OT,Toronto Sceptres,6,0,New York Sirens,4,1,Coca-Cola Coliseum | Toronto,8,,,4,21,2026
323,2026-04-22 02:00:00+00:00,Final,Vancouver Goldeneyes,9,4,Montréal Victoire,3,3,Pacific Coliseum | Vancouver,8,,,4,22,2026
324,2026-04-22 23:00:00+00:00,Final 1st OT,Boston Fleet,1,1,Ottawa Charge,5,2,Tsongas Center | Lowell,8,,,4,22,2026
325,2026-04-23 02:00:00+00:00,Final,Seattle Torrent,8,5,Minnesota Frost,2,4,Climate Pledge Arena | Seattle,8,,,4,23,2026
329,2026-04-25 16:00:00+00:00,Final,Boston Fleet,1,4,New York Sirens,4,0,Tsongas Center | Lowell,8,,,4,25,2026
328,2026-04-25 18:00:00+00:00,Final,Ottawa Charge,5,3,Toronto Sceptres,6,0,TD Place | Ottawa,8,,,4,25,2026
327,2026-04-25 23:00:00+00:00,Final 1st OT,Vancouver Goldeneyes,9,4,Minnesota Frost,2,3,Pacific Coliseum | Vancouver,8,,,4,25,2026
326,2026-04-26 02:00:00+00:00,Final SO,Seattle Torrent,8,1,Montréal Victoire,3,2,Climate Pledge Arena | Seattle,8,,,4,26,2026
338,2026-04-30 23:00:00+00:00,Final,Boston Fleet,1,2,Ottawa Charge,5,1,Tsongas Center | Lowell,9,,,4,30,2026
340,2026-05-02 18:00:00+00:00,Final 1st OT,Montréal Victoire,3,4,Minnesota Frost,2,5,Place Bell | Laval,9,,,5,2,2026
339,2026-05-02 23:00:00+00:00,Final,Boston Fleet,1,1,Ottawa Charge,5,3,Tsongas Center | Lowell,9,,,5,2,2026
341,2026-05-05 23:00:00+00:00,Final 3rd OT,Montréal Victoire,3,1,Minnesota Frost,2,0,Place Bell | Laval,9,,,5,5,2026
342,2026-05-07 23:00:00+00:00,Final,Minnesota Frost,2,1,Montréal Victoire,3,2,Grand Casino Arena | St. Paul,9,,,5,7,2026
343,2026-05-08 23:00:00+00:00,Final,Ottawa Charge,5,2,Boston Fleet,1,1,Canadian Tire Centre | Ottawa,9,,,5,8,2026
345,2026-05-09 00:30:00+00:00,Final,Minnesota Frost,2,3,Montréal Victoire,3,1,Grand Casino Arena | St. Paul,9,,,5,9,2026
344,2026-05-10 19:00:00+00:00,Final 2nd OT,Ottawa Charge,5,4,Boston Fleet,1,3,Canadian Tire Centre | Ottawa,9,,,5,10,2026
347,2026-05-12 23:00:00+00:00,Final,Montréal Victoire,3,2,Minnesota Frost,2,1,Place Bell | Laval,9,,,5,12,2026
350,2026-05-14 23:00:00+00:00,Final 1st OT,Montréal Victoire,3,3,Ottawa Charge,5,2,Place Bell | Laval,9,,,5,14,2026
351,2026-05-16 18:00:00+00:00,Final 1st OT,Montréal Victoire,3,2,Ottawa Charge,5,1,Place Bell | Laval,9,,,5,16,2026
348,2026-05-18 22:00:00+00:00,Final,Ottawa Charge,5,2,Montréal Victoire,3,1,Canadian Tire Centre | Ottawa,9,,,5,18,2026
349,2026-05-20 23:00:00+00:00,Final,Ottawa Charge,5,0,Montréal Victoire,3,4,Canadian Tire Centre | Ottawa,9,,,5,20,2026
